Player,Team,Position,Value,Points,Points/Value,value_ratio,now_cost
Cristian Romero,Spurs,Defender,5.0,59,11.8,11.8,5.0
Iliman Ndiaye,Everton,Midfielder,6.2,73,11.774193548387096,11.77,6.2
Moisés Caicedo Corozo,Chelsea,Midfielder,5.7,67,11.75438596491228,11.75,5.7
Neco Williams,Nott'm Forest,Defender,4.7,55,11.702127659574467,11.7,4.7
Nathan Collins,Brentford,Defender,4.9,57,11.63265306122449,11.63,4.9
Sepp van den Berg,Brentford,Defender,4.5,52,11.555555555555555,11.56,4.5
Pedro Porro Sauceda,Spurs,Defender,5.2,60,11.538461538461538,11.54,5.2
Quilindschy Hartman,Burnley,Defender,4.0,46,11.5,11.5,4.0
Adam Wharton,Crystal Palace,Midfielder,5.0,57,11.4,11.4,5.0
Lucas Tolentino Coelho de Lima,West Ham,Midfielder,5.9,67,11.35593220338983,11.36,5.9
Michael Kayode,Brentford,Defender,4.5,51,11.333333333333334,11.33,4.5
João Pedro Junqueira de Jesus,Chelsea,Forward,7.2,81,11.25,11.25,7.2
Alex Scott,Bournemouth,Midfielder,5.0,56,11.2,11.2,5.0
Lesley Ugochukwu,Burnley,Midfielder,5.0,56,11.2,11.2,5.0
Virgil van Dijk,Liverpool,Defender,5.9,66,11.1864406779661,11.19,5.9
Nick Pope,Newcastle,Goalkeeper,5.1,57,11.176470588235295,11.18,5.1
Leandro Trossard,Arsenal,Midfielder,6.9,77,11.159420289855072,11.16,6.9
Brenden Aaronson,Leeds,Midfielder,5.4,60,11.11111111111111,11.11,5.4
Pedro Lomba Neto,Chelsea,Midfielder,7.3,81,11.095890410958905,11.1,7.3
Mohammed Kudus,Spurs,Midfielder,6.4,71,11.09375,11.09,6.4
Jarrod Bowen,West Ham,Forward,7.6,84,11.052631578947368,11.05,7.6
Dango Ouattara,Brentford,Midfielder,5.8,64,11.03448275862069,11.03,5.8
Ethan Ampadu,Leeds,Midfielder,4.9,54,11.020408163265305,11.02,4.9
Boubacar Kamara,Aston Villa,Midfielder,4.9,54,11.020408163265305,11.02,4.9
Vitalii Mykolenko,Everton,Defender,4.9,54,11.020408163265305,11.02,4.9
El Hadji Malick Diouf,West Ham,Defender,4.0,44,11.0,11.0,4.0
Richarlison de Andrade,Spurs,Forward,6.4,70,10.9375,10.94,6.4
Maxim De Cuyper,Brighton,Defender,4.3,47,10.930232558139535,10.93,4.3
Bruno Borges Fernandes,Man Utd,Midfielder,9.1,99,10.87912087912088,10.88,9.1
Keane Lewis-Potter,Brentford,Defender,4.9,53,10.816326530612244,10.82,4.9
Jordan Henderson,Brentford,Midfielder,5.0,54,10.8,10.8,5.0
Hjalmar Ekdal,Burnley,Defender,3.9,42,10.76923076923077,10.77,3.9
Maxime Estève,Burnley,Defender,3.9,42,10.76923076923077,10.77,3.9
Mateus Gonçalo Espanha Fernandes,West Ham,Midfielder,5.5,59,10.727272727272727,10.73,5.5
Patrick Dorgu,Man Utd,Defender,4.2,45,10.714285714285714,10.71,4.2
Djed Spence,Spurs,Defender,4.3,45,10.465116279069768,10.47,4.3
Chemsdine Talbi,Sunderland,Midfielder,4.9,51,10.408163265306122,10.41,4.9
Donyell Malen,Aston Villa,Midfielder,5.1,53,10.392156862745098,10.39,5.1
Emiliano Buendía Stati,Aston Villa,Midfielder,5.3,55,10.377358490566039,10.38,5.3
Ryan Sessegnon,Fulham,Midfielder,5.4,56,10.37037037037037,10.37,5.4
Gianluigi Donnarumma,Man City,Goalkeeper,5.7,59,10.350877192982455,10.35,5.7
Phil Foden,Man City,Midfielder,9.0,93,10.333333333333334,10.33,9.0
Jack Grealish,Everton,Midfielder,6.5,67,10.307692307692308,10.31,6.5
Gabriel Gudmundsson,Leeds,Defender,3.8,39,10.263157894736842,10.26,3.8
Ferdi Kadıoğlu,Brighton,Defender,4.4,45,10.227272727272727,10.23,4.4
Yasin Ayari,Brighton,Midfielder,4.8,49,10.208333333333334,10.21,4.8
