Player,Team,Position,Value,Points,Points/Value,value_ratio,now_cost
Morgan Rogers,Aston Villa,Midfielder,7.6,101,13.289473684210527,13.29,7.6
Keane Lewis-Potter,Brentford,Defender,4.9,65,13.265306122448978,13.27,4.9
Adam Wharton,Crystal Palace,Midfielder,5.0,66,13.2,13.2,5.0
Bernd Leno,Fulham,Goalkeeper,4.9,64,13.061224489795917,13.06,4.9
Yehor Yarmoliuk,Brentford,Midfielder,5.0,65,13.0,13.0,5.0
John McGinn,Aston Villa,Midfielder,5.4,70,12.962962962962962,12.96,5.4
Gabriel Gudmundsson,Leeds,Defender,3.8,49,12.894736842105264,12.89,3.8
Joško Gvardiol,Man City,Defender,6.0,77,12.833333333333334,12.83,6.0
Emiliano Martínez Romero,Aston Villa,Goalkeeper,5.0,64,12.8,12.8,5.0
Nick Pope,Newcastle,Goalkeeper,5.1,65,12.745098039215687,12.75,5.1
Ferdi Kadıoğlu,Brighton,Defender,4.4,56,12.727272727272727,12.73,4.4
Đorđe Petrović,Bournemouth,Goalkeeper,4.5,57,12.666666666666666,12.67,4.5
Neco Williams,Nott'm Forest,Defender,4.7,59,12.553191489361701,12.55,4.7
Calvin Bassey,Fulham,Defender,4.4,55,12.499999999999998,12.5,4.4
Boubacar Kamara,Aston Villa,Midfielder,4.9,61,12.448979591836734,12.45,4.9
Ethan Ampadu,Leeds,Midfielder,4.9,61,12.448979591836734,12.45,4.9
Alex Scott,Bournemouth,Midfielder,5.0,62,12.4,12.4,5.0
Pedro Lomba Neto,Chelsea,Midfielder,7.1,88,12.3943661971831,12.39,7.1
Djed Spence,Spurs,Defender,4.3,53,12.325581395348838,12.33,4.3
Lewis Miley,Newcastle,Midfielder,4.5,55,12.222222222222221,12.22,4.5
Lesley Ugochukwu,Burnley,Midfielder,5.0,61,12.2,12.2,5.0
Patrick Dorgu,Man Utd,Defender,4.2,51,12.142857142857142,12.14,4.2
Moisés Caicedo Corozo,Chelsea,Midfielder,5.7,69,12.105263157894736,12.11,5.7
Gianluigi Donnarumma,Man City,Goalkeeper,5.7,69,12.105263157894736,12.11,5.7
Rodrigo Bentancur,Spurs,Midfielder,5.3,64,12.075471698113208,12.08,5.3
Kevin Schade,Brentford,Midfielder,7.1,85,11.971830985915494,11.97,7.1
Mats Wieffer,Brighton,Midfielder,4.9,58,11.83673469387755,11.84,4.9
João Pedro Junqueira de Jesus,Chelsea,Forward,7.1,84,11.830985915492958,11.83,7.1
Iliman Ndiaye,Everton,Midfielder,6.2,73,11.774193548387096,11.77,6.2
Junior Kroupi,Bournemouth,Forward,4.6,54,11.73913043478261,11.74,4.6
Mohammed Kudus,Spurs,Midfielder,6.4,75,11.71875,11.72,6.4
Richarlison de Andrade,Spurs,Forward,6.4,75,11.71875,11.72,6.4
Lucas Tolentino Coelho de Lima,West Ham,Midfielder,5.9,69,11.694915254237287,11.69,5.9
Jack Grealish,Everton,Midfielder,6.5,76,11.692307692307692,11.69,6.5
Jarrod Bowen,West Ham,Forward,7.7,90,11.688311688311687,11.69,7.7
Bruno Borges Fernandes,Man Utd,Midfielder,9.1,106,11.64835164835165,11.65,9.1
Jordan Henderson,Brentford,Midfielder,5.0,58,11.6,11.6,5.0
Leandro Trossard,Arsenal,Midfielder,6.9,80,11.594202898550725,11.59,6.9
Sepp van den Berg,Brentford,Defender,4.5,52,11.555555555555555,11.56,4.5
Maxime Estève,Burnley,Defender,3.9,45,11.538461538461538,11.54,3.9
Marc Cucurella Saseta,Chelsea,Defender,6.0,69,11.5,11.5,6.0
Quilindschy Hartman,Burnley,Defender,4.0,46,11.5,11.5,4.0
Phil Foden,Man City,Midfielder,8.7,100,11.49425287356322,11.49,8.7
Alisson Becker,Liverpool,Goalkeeper,5.4,62,11.481481481481481,11.48,5.4
Mateus Gonçalo Espanha Fernandes,West Ham,Midfielder,5.5,63,11.454545454545455,11.45,5.5
Vitalii Mykolenko,Everton,Defender,4.9,56,11.428571428571427,11.43,4.9
